ra,Ülke,Nüfus,Yüzde,Tarih,Kaynak
1.0,Hindistan Hindistan,1.425.775.850,"%17,8",14 Nisan 2023,[36]
2.0,Çin Çin,1.412.600.000,"%17,6",31 Aralık 2021,[37]
3.0,Amerika Birleşik Devletleri Amerika Birleşik Devletleri,334.633.076,"%4,17",16 Nisan 2023,[38]
4.0,Endonezya Endonezya,275.773.800,"%3,44",1 Temmuz 2022,[39]
5.0,Pakistan Pakistan,229.488.994,"%2,86",1 Temmuz 2022,[40]
6.0,Nijerya Nijerya,216.746.934,"%2,70",1 Temmuz 2022,[40]
7.0,Brezilya Brezilya,216.024.545,"%2,69",16 Nisan 2023,[41]
8.0,Bangladeş Bangladeş,168.220.000,"%2,10",1 Temmuz 2020,[42]
9.0,Rusya Rusya,146.188.000,"%1,83",2 Haziran 2023,[43]
10.0,Meksika Meksika,128.271.248,"%1,60",31 Mart 2022,[44]
