Sıra,İsim,Servet,Yaş,Uyruk,Servetin Kaynağı
1,Bernard Arnault & ailesi,$233 milyar,75,Fransa,LVMH
2,Elon Musk,$195 milyar,52,ABD  Kanada  Güney Afrika,"Tesla, SpaceX"
3,Jeff Bezos,$194 milyar,60,ABD,Amazon
4,Mark Zuckerberg,$177 milyar,39,ABD,"Meta, Inc."
5,Larry Ellison,$141 milyar,79,ABD,Oracle Corporation
6,Warren Buffett,$133 milyar,93,ABD,Berkshire Hathaway
7,Bill Gates,$128 milyar,68,ABD,Microsoft
8,Steve Ballmer,$121 milyar,68,ABD,Microsoft
9,Mukesh Ambani,$116 milyar,67,Hindistan,Reliance Industries
10,Larry Page,$114 milyar,51,ABD,Alphabet Inc.
